"id_municipio","Município","Situação do domicílio","Grupo de idade","White","Black","Brown","Indigenous"
"4320701","Sobradinho (RS)","Total","Total","77.36","2.94","19.11","-"
"4320800","Soledade (RS)","Total","Total","80.35","2.88","15.90","0.05"
"4320859","Tabaí (RS)","Total","Total","93.46","1.34","4.48","0.48"
"4320909","Tapejara (RS)","Total","Total","83.70","2.23","13.67","0.07"
"4321006","Tapera (RS)","Total","Total","87.57","1.12","11.24","-"
"4321105","Tapes (RS)","Total","Total","78.54","9.52","11.77","0.09"
"4321204","Taquara (RS)","Total","Total","86.23","5.06","8.34","0.09"
"4321303","Taquari (RS)","Total","Total","92.62","3.58","3.42","0.18"
"4321329","Taquaruçu do Sul (RS)","Total","Total","72.26","6.07","20.70","0.96"
"4321352","Tavares (RS)","Total","Total","84.11","5.64","9.88","0.11"
"4321402","Tenente Portela (RS)","Total","Total","70.24","1.55","13.59","14.28"
"4321436","Terra de Areia (RS)","Total","Total","91.60","2.52","5.66","0.22"
"4321451","Teutônia (RS)","Total","Total","90.68","3.10","5.79","0.23"
"4321469","Tio Hugo (RS)","Total","Total","76.76","0.08","22.29","0.16"
"4321477","Tiradentes do Sul (RS)","Total","Total","86.44","1.89","10.98","-"
"4321493","Toropi (RS)","Total","Total","89.56","2.22","7.72","-"
"4321501","Torres (RS)","Total","Total","91.74","1.92","5.80","0.46"
"4321600","Tramandaí (RS)","Total","Total","88.21","3.71","7.60","0.22"
"4321626","Travesseiro (RS)","Total","Total","95.77","0.22","3.92","0.09"
"4321634","Três Arroios (RS)","Total","Total","99.41","0.09","0.50","-"
"4321667","Três Cachoeiras (RS)","Total","Total","95.31","1.33","3.04","0.05"
"4321709","Três Coroas (RS)","Total","Total","84.63","2.68","11.92","0.12"
"4321808","Três de Maio (RS)","Total","Total","86.54","0.84","12.41","-"
"4321832","Três Forquilhas (RS)","Total","Total","84.93","9.01","5.48","0.28"
"4321857","Três Palmeiras (RS)","Total","Total","65.74","4.57","20.38","8.32"
"4321907","Três Passos (RS)","Total","Total","88.84","0.92","9.88","0.24"
"4321956","Trindade do Sul (RS)","Total","Total","74.68","4.91","19.52","0.24"
"4322004","Triunfo (RS)","Total","Total","87.74","4.60","7.42","0.05"
"4322103","Tucunduva (RS)","Total","Total","86.81","2.96","9.39","0.08"
"4322152","Tunas (RS)","Total","Total","78.87","2.04","18.55","0.11"
"4322186","Tupanci do Sul (RS)","Total","Total","85.14","4.44","7.26","-"
"4322202","Tupanciretã (RS)","Total","Total","81.45","3.87","14.24","-"
"4322251","Tupandi (RS)","Total","Total","97.87","0.32","1.80","-"
"4322301","Tuparendi (RS)","Total","Total","91.37","0.28","8.35","-"
"4322327","Turuçu (RS)","Total","Total","88.99","4.23","5.87","-"
"4322343","Ubiretama (RS)","Total","Total","95.61","0.71","3.68","-"
"4322350","União da Serra (RS)","Total","Total","96.52","0.68","2.56","-"
"4322376","Unistalda (RS)","Total","Total","84.54","1.46","13.91","-"
"4322400","Uruguaiana (RS)","Total","Total","74.87","4.43","20.24","0.10"
"4322509","Vacaria (RS)","Total","Total","72.80","3.80","22.29","0.15"
"4322525","Vale Verde (RS)","Total","Total","90.70","4.09","4.55","-"
"4322533","Vale do Sol (RS)","Total","Total","85.55","3.98","9.03","-"
"4322541","Vale Real (RS)","Total","Total","92.41","1.35","5.07","0.43"
"4322558","Vanini (RS)","Total","Total","88.30","3.05","8.66","-"
"4322608","Venâncio Aires (RS)","Total","Total","89.08","4.91","5.73","0.09"
"4322707","Vera Cruz (RS)","Total","Total","87.35","6.57","5.16","0.02"
